Desired=Unknown/Install/Remove/Purge/Hold
| Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend
|/ Err?=(none)/Reinst-required (Status,Err: uppercase=bad)
||/ Name                                     Version                              Architecture Description
+++-========================================-====================================-============-===========================================================================================================================================================================================================================================================
ii  1password                                8.12.32                              amd64        
ii  bison                                    2:3.8.2+dfsg-1+b2                    amd64        YACC-compatible parser generator
ii  blag                                     2.3.3                                all          Blog-aware, static site generator
ii  blt                                      2.5.3+dfsg-8                         amd64        graphics extension library for Tcl/Tk - run-time
ii  borgbackup                               1.4.0-5                              amd64        deduplicating and compressing backup program
rc  brave-browser                            1.86.139                             amd64        The web browser from Brave
ii  bridge-utils                             1.7.1-4+b1                           amd64        Utilities for configuring the Linux Ethernet bridge
ii  bsdextrautils                            2.41.5-0+deb13u1                     amd64        extra utilities from 4.4BSD-Lite
ii  bsdutils                                 1:2.41.5-0+deb13u1                   amd64        basic utilities from 4.4BSD-Lite
ii  btrfs-progs                              6.14-1                               amd64        Checksumming Copy on Write Filesystem utilities
ii  bubblewrap                               0.11.0-2+deb13u1                     amd64        utility for unprivileged chroot and namespace manipulation
ii  build-essential                          12.12                                amd64        Informational list of build-essential packages
ii  buildah                                  1.39.3+ds1-1+b7                      amd64        CLI tool to facilitate building OCI images
ii  busybox-static                           1:1.37.0-6+b8                        amd64        Standalone rescue shell with tons of builtin utilities
ii  bzip2                                    1.0.8-6                              amd64        high-quality block-sorting file compressor - utilities
ii  bzip2-doc                                1.0.8-6                              all          high-quality block-sorting file compressor - documentation
ii  ca-certificates                          20250419                             all          Common CA certificates
ii  ca-certificates-java                     20240118                             all          Common CA certificates (JKS keystore)
ii  cabextract                               1.11-2                               amd64        Microsoft Cabinet file unpacker
ii  caddy                                    2.6.2-12+deb13u1                     amd64        Fast, lightweight web server with automatic HTTPS
ii  calibre                                  8.5.0+ds-1+deb13u3                   all          powerful and easy to use e-book manager
ii  calibre-bin                              8.5.0+ds-1+deb13u3                   amd64        powerful and easy to use e-book manager (binary plugins)
ii  catatonit                                0.2.1-2+b13                          amd64        init process for containers
ii  cd-rw-52x                                0.4.0                                all          cd-rw-52x — a click-clop project
ii  chafa                                    1.14.5-1                             amd64        Image-to-text converter supporting a wide range of symbols, etc.
ii  chromium                                 151.0.7922.137-1~deb13u1             amd64        web browser
ii  chromium-common                          151.0.7922.137-1~deb13u1             amd64        web browser - common resources used by the chromium packages
ii  chromium-sandbox                         151.0.7922.137-1~deb13u1             amd64        web browser - setuid security sandbox for chromium
ii  cl                                       1.15.125                             amd64        A click-clop CLI application
ii  clang                                    1:19.0-63                            amd64        C, C++ and Objective-C compiler (LLVM based), clang binary
ii  clang-14                                 1:14.0.6-12                          amd64        C, C++ and Objective-C compiler
ii  clang-19                                 1:19.1.7-3+b1                        amd64        C, C++ and Objective-C compiler
ii  clang-tools-19                           1:19.1.7-3+b1                        amd64        clang-based tools for C/C++ developments
ii  claude-journal                           1.2.4                                amd64        A click-clop CLI application
ii  claws-mail                               4.3.1-1                              amd64        Fast, lightweight and user-friendly GTK based email client
ii  claws-mail-i18n                          4.3.1-1                              all          Locale data for Claws Mail (i18n support)
ii  click-clop                               2.0.6                                all          Framework and scaffold for Python CLI applications
rc  clojure                                  1.12.0-1                             all          Lisp dialect for the JVM
ii  cloud-image-utils                        0.33-1                               all          cloud image management utilities
ii  cmake                                    3.31.6-2                             amd64        cross-platform, open-source make system
ii  cmake-data                               3.31.6-2                             all          CMake data files (modules, templates and documentation)
ii  cockpit                                  337-1+deb13u1                        all          Web Console for Linux servers
ii  cockpit-bridge                           337-1+deb13u1                        all          Cockpit bridge server-side component
ii  cockpit-files                            36-1~bpo13+1                         all          Cockpit component for file management
ii  cockpit-incus                            0.1.4                                all          Cockpit plugin for managing Incus containers
ii  cockpit-networkmanager                   337-1+deb13u1                        all          Cockpit user interface for networking
ii  cockpit-packagekit                       337-1+deb13u1                        all          Cockpit user interface for apps and package updates
ii  cockpit-storaged                         337-1+deb13u1                        all          Cockpit user interface for storage
ii  cockpit-system                           337-1+deb13u1                        all          Cockpit admin interface for a system
ii  cockpit-ws                               337-1+deb13u1                        amd64        Cockpit Web Service
ii  colord                                   1.4.7-3                              amd64        system service to manage device colour profiles -- system daemon
ii  colord-data                              1.4.7-3                              all          system service to manage device colour profiles -- data files
ii  colorized-logs                           2.7-1                                amd64        tools for consuming logs with ANSI color
ii  comerr-dev:amd64                         2.1-1.47.2-3+b11                     amd64        common error description library - headers and static libraries
ii  conmon                                   2.1.12-4                             amd64        OCI container runtime monitor
ii  console-setup                            1.242~deb13u1                        all          console font and keymap setup program
ii  console-setup-linux                      1.242~deb13u1                        all          Linux specific part of console-setup
ii  containernetworking-plugins              1.1.1+ds1-3+b17                      amd64        standard networking plugins - binaries
ii  containers-storage                       1.57.2+ds1-1+b2                      amd64        CLI tools for handling how containers are stored on disk
ii  copyq                                    10.0.0-1                             amd64        Advanced clipboard manager with editing and scripting features
ii  copyq-plugins                            10.0.0-1                             amd64        Plugins for CopyQ
ii  coreutils                                9.7-3                                amd64        GNU core utilities
ii  courier-authlib                          0.72.4-1                             amd64        Courier authentication library
ii  cpio                                     2.15+dfsg-2                          amd64        GNU cpio -- a program to manage archives of files
ii  cpp                                      4:14.2.0-1                           amd64        GNU C preprocessor (cpp)
ii  cpp-12                                   12.4.0-5                             amd64        GNU C preprocessor
ii  cpp-13                                   13.3.0-16                            amd64        GNU C preprocessor
ii  cpp-13-x86-64-linux-gnu                  13.3.0-16                            amd64        GNU C preprocessor for x86_64-linux-gnu
ii  cpp-14                                   14.2.0-19                            amd64        GNU C preprocessor
ii  cpp-14-x86-64-linux-gnu                  14.2.0-19                            amd64        GNU C preprocessor for x86_64-linux-gnu
ii  cpp-x86-64-linux-gnu                     4:14.2.0-1                           amd64        GNU C preprocessor (cpp) for the amd64 architecture
ii  cracklib-runtime                         2.9.6-5.2+b1                         amd64        runtime support for password checker library cracklib2
ii  criu                                     4.1.1-1                              amd64        checkpoint and restore in userspace
ii  cron                                     3.0pl1-197                           amd64        process scheduling daemon
ii  cron-daemon-common                       3.0pl1-197                           all          process scheduling daemon's configuration files
ii  crun                                     1.21-1                               amd64        lightweight OCI runtime for running containers
ii  cryptsetup                               2:2.7.5-2                            amd64        disk encryption support - startup scripts
ii  cryptsetup-bin                           2:2.7.5-2                            amd64        disk encryption support - command line tools
ii  cryptsetup-initramfs                     2:2.7.5-2                            all          disk encryption support - initramfs integration
ii  cuda-cccl-13-1                           13.1.115-1                           amd64        CUDA CCCL
ii  cuda-command-line-tools-13-1             13.1.2-1                             amd64        CUDA command-line tools
ii  cuda-compiler-13-1                       13.1.2-1                             amd64        CUDA compiler
ii  cuda-crt-13-1                            13.1.115-1                           amd64        CUDA crt
ii  cuda-cudart-13-1                         13.1.80-1                            amd64        CUDA Runtime native Libraries
ii  cuda-cudart-dev-13-1                     13.1.80-1                            amd64        CUDA Runtime native dev links, headers
ii  cuda-culibos-dev-13-1                    13.1.115-1                           amd64        CUDA DEV culibos is a Math Libraries fork of the cuos library
ii  cuda-cuobjdump-13-1                      13.1.115-1                           amd64        CUDA cuobjdump
ii  cuda-cupti-13-1                          13.1.115-1                           amd64        CUDA profiling tools runtime libs.
ii  cuda-cupti-dev-13-1                      13.1.115-1                           amd64        CUDA profiling tools interface.
ii  cuda-cuxxfilt-13-1                       13.1.115-1                           amd64        CUDA cuxxfilt
ii  cuda-documentation-13-1                  13.1.115-1                           amd64        CUDA documentation
ii  cuda-driver-dev-13-1                     13.1.80-1                            amd64        CUDA Driver native dev stub library
ii  cuda-gdb-13-1                            13.1.115-1                           amd64        CUDA-GDB
ii  cuda-keyring                             1.1-1                                all          GPG keyring for the CUDA repository
ii  cuda-libraries-13-1                      13.1.2-1                             amd64        CUDA Libraries 13.1 meta-package
ii  cuda-libraries-dev-13-1                  13.1.2-1                             amd64        CUDA Libraries 13.1 development meta-package
ii  cuda-nsight-13-1                         13.1.115-1                           amd64        CUDA nsight
ii  cuda-nsight-compute-13-1                 13.1.2-1                             amd64        NVIDIA Nsight Compute
ii  cuda-nsight-systems-13-1                 13.1.2-1                             amd64        NVIDIA Nsight Systems
ii  cuda-nvcc-13-1                           13.1.115-1                           amd64        CUDA nvcc
ii  cuda-nvdisasm-13-1                       13.1.115-1                           amd64        CUDA disassembler
ii  cuda-nvml-dev-13-1                       13.1.115-1                           amd64        NVML native dev links, headers
ii  cuda-nvprune-13-1                        13.1.115-1                           amd64        CUDA nvprune
ii  cuda-nvrtc-13-1                          13.1.115-1                           amd64        NVRTC native runtime libraries
ii  cuda-nvrtc-dev-13-1                      13.1.115-1                           amd64        NVRTC native dev links, headers
ii  cuda-nvtx-13-1                           13.1.115-1                           amd64        NVIDIA Tools Extension
ii  cuda-opencl-13-1                         13.1.115-1                           amd64        CUDA OpenCL native Libraries
ii  cuda-profiler-api-13-1                   13.1.115-1                           amd64        CUDA Profiler API
rc  cuda-repo-debian12-13-1-local            13.1.1-590.48.01-1                   amd64        cuda repository configuration files
ii  cuda-sandbox-dev-13-1                    13.1.115-1                           amd64        nvsandboxutils native dev links, headers
ii  cuda-sanitizer-13-1                      13.1.118-1                           amd64        CUDA Sanitizer
ii  cuda-tileiras-13-1                       13.1.80-1                            amd64        JIT compilation feature for TileIR.
ii  cuda-toolkit-13-1                        13.1.2-1                             amd64        CUDA Toolkit 13.1 meta-package
